string_id,go_id,go_name
511145.b3495,GO:0042802,identical protein binding
511145.b3495,GO:0042803,protein homodimerization activity
511145.b3986,GO:0003729,mRNA binding
511145.b3986,GO:0042803,protein homodimerization activity
511145.b3986,GO:0043022,ribosome binding
511145.b3986,GO:0003735,structural constituent of ribosome
511145.b3339,GO:0005525,GTP binding
511145.b3339,GO:0003924,GTPase activity
511145.b3339,GO:0097216,guanosine tetraphosphate binding
511145.b3339,GO:0000287,magnesium ion binding
511145.b3339,GO:0003723,RNA binding
511145.b3339,GO:0003746,translation elongation factor activity
511145.b3980,GO:0005525,GTP binding
511145.b3980,GO:0003924,GTPase activity
511145.b3980,GO:0097216,guanosine tetraphosphate binding
511145.b3980,GO:0000287,magnesium ion binding
511145.b3980,GO:0003723,RNA binding
511145.b3980,GO:0003746,translation elongation factor activity
511145.b1779,GO:0004365,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
511145.b1779,GO:0042802,identical protein binding
511145.b1779,GO:0051287,NAD binding
511145.b1779,GO:0050661,NADP binding
511145.b0440,GO:0003677,DNA binding
511145.b0440,GO:0042802,identical protein binding
511145.b0440,GO:0030527,structural constituent of chromatin
511145.b1237,GO:0003681,bent DNA binding
511145.b1237,GO:0001217,DNA-binding transcription repressor activity
511145.b1237,GO:0042802,identical protein binding
511145.b1237,GO:0003680,minor groove of adenine-thymine-rich DNA binding
511145.b1237,GO:0046983,protein dimerization activity
511145.b1237,GO:0003723,RNA binding
511145.b1237,GO:0030527,structural constituent of chromatin
511145.b1237,GO:0000976,transcription cis-regulatory region binding
511145.b1677,GO:0042802,identical protein binding
511145.b1677,GO:0008289,lipid binding
511145.b1677,GO:0042834,peptidoglycan binding
511145.b3236,GO:0030060,L-malate dehydrogenase (NAD+) activity
511145.b3236,GO:0016615,malate dehydrogenase activity
511145.b3236,GO:0016491,oxidoreductase activity
511145.b3236,GO:0042803,protein homodimerization activity
511145.b1823,GO:0003676,nucleic acid binding
511145.b1823,GO:0042803,protein homodimerization activity
511145.b1823,GO:0051087,protein-folding chaperone binding
511145.b1823,GO:0003723,RNA binding
511145.b1823,GO:0003697,single-stranded DNA binding
511145.b1823,GO:0001072,"transcription antitermination factor activity, RNA binding"
511145.b2779,GO:0042802,identical protein binding
511145.b2779,GO:0000287,magnesium ion binding
511145.b2779,GO:0004634,phosphopyruvate hydratase activity
511145.b2779,GO:0042803,protein homodimerization activity
511145.b4015,GO:0043169,cation binding
511145.b4015,GO:0004451,isocitrate lyase activity
511145.b4015,GO:0046872,metal ion binding
511145.b3065,GO:0019843,rRNA binding
511145.b3065,GO:0003735,structural constituent of ribosome
511145.b1094,GO:0000035,acyl binding
511145.b1094,GO:0000036,acyl carrier activity
511145.b1094,GO:0008289,lipid binding
511145.b1094,GO:0031177,phosphopantetheine binding
511145.b4143,GO:0005524,ATP binding
511145.b4143,GO:0016887,ATP hydrolysis activity
511145.b4143,GO:0140662,ATP-dependent protein folding chaperone
511145.b4143,GO:0042802,identical protein binding
511145.b4143,GO:0016853,isomerase activity
511145.b4143,GO:0000287,magnesium ion binding
511145.b4143,GO:0051082,unfolded protein binding
511145.b2926,GO:0043531,ADP binding
511145.b2926,GO:0005524,ATP binding
511145.b2926,GO:0097216,guanosine tetraphosphate binding
511145.b2926,GO:0004618,phosphoglycerate kinase activity
511145.b3341,GO:0003729,mRNA binding
511145.b3341,GO:0019843,rRNA binding
511145.b3341,GO:0003735,structural constituent of ribosome
511145.b3341,GO:0000049,tRNA binding
511145.b0957,GO:0042802,identical protein binding
511145.b0957,GO:0015075,monoatomic ion transmembrane transporter activity
511145.b0957,GO:0015288,porin activity
511145.b2096,GO:0009025,tagatose-bisphosphate aldolase activity
511145.b2096,GO:0008270,zinc ion binding
511145.b3908,GO:0016209,antioxidant activity
511145.b3908,GO:0003677,DNA binding
511145.b3908,GO:0030145,manganese ion binding
511145.b3908,GO:0046872,metal ion binding
511145.b3908,GO:0042803,protein homodimerization activity
511145.b3908,GO:0004784,superoxide dismutase activity
511145.b3315,GO:0070180,large ribosomal subunit rRNA binding
511145.b3315,GO:0003735,structural constituent of ribosome
511145.b4000,GO:0003677,DNA binding
511145.b4000,GO:0042802,identical protein binding
511145.b4000,GO:0030527,structural constituent of chromatin
511145.b2185,GO:0008097,5S rRNA binding
511145.b2185,GO:0003735,structural constituent of ribosome
511145.b3303,GO:0019843,rRNA binding
