source,target,score
511145.b0008,511145.b1779,0.957
511145.b0008,511145.b2417,0.841
511145.b0008,511145.b2779,0.953
511145.b0008,511145.b2925,0.965
511145.b0008,511145.b3919,0.975
511145.b0008,511145.b2029,0.932
511145.b0008,511145.b0755,0.91
511145.b0008,511145.b2926,0.811
511145.b0008,511145.b1676,0.92
511145.b0008,511145.b2914,0.757
511145.b0008,511145.b0114,0.874
511145.b0014,511145.b4142,0.999
511145.b0014,511145.b3734,0.715
511145.b0014,511145.b0957,0.847
511145.b0014,511145.b3609,0.83
511145.b0014,511145.b4143,0.999
511145.b0014,511145.b0911,0.816
511145.b0014,511145.b0605,0.768
511145.b0014,511145.b1779,0.906
511145.b0014,511145.b2779,0.702
511145.b0014,511145.b4034,0.864
511145.b0014,511145.b3340,0.785
511145.b0014,511145.b3349,0.707
511145.b0014,511145.b0178,0.706
511145.b0014,511145.b3295,0.829
511145.b0014,511145.b0436,0.917
511145.b0014,511145.b2614,0.999
511145.b0014,511145.b2592,0.999
511145.b0014,511145.b3164,0.72
511145.b0014,511145.b1923,0.875
511145.b0014,511145.b3317,0.741
511145.b0014,511145.b3987,0.841
511145.b0023,511145.b3297,0.999
511145.b0023,511145.b0169,0.999
511145.b0023,511145.b0170,0.875
511145.b0023,511145.b1716,0.994
511145.b0023,511145.b3340,0.964
511145.b0023,511145.b3231,0.999
511145.b0023,511145.b0957,0.819
511145.b0023,511145.b4202,0.999
511145.b0023,511145.b2609,0.999
511145.b0023,511145.b1480,0.72
511145.b0023,511145.b3304,0.985
511145.b0023,511145.b3339,0.999
511145.b0023,511145.b3298,0.997
511145.b0023,511145.b3319,0.991
511145.b0023,511145.b3186,0.999
511145.b0023,511145.b3305,0.993
511145.b0023,511145.b0172,0.941
511145.b0023,511145.b3302,0.981
511145.b0023,511145.b3636,0.998
511145.b0023,511145.b3065,0.999
511145.b0023,511145.b4203,0.991
511145.b0023,511145.b3295,0.992
511145.b0023,511145.b3310,0.991
511145.b0023,511145.b3301,0.981
511145.b0023,511145.b3311,0.998
511145.b0023,511145.b4200,0.999
511145.b0023,511145.b3309,0.985
511145.b0023,511145.b0436,0.967
511145.b0023,511145.b3988,0.834
511145.b0023,511145.b3321,0.999
511145.b0023,511145.b3341,0.996
511145.b0023,511145.b3230,0.999
511145.b0023,511145.b3203,0.995
511145.b0023,511145.b3984,0.995
511145.b0023,511145.b3165,0.999
511145.b0023,511145.b1089,0.998
511145.b0023,511145.b3308,0.983
511145.b0023,511145.b3936,0.995
511145.b0023,511145.b3983,0.999
511145.b0023,511145.b3980,0.879
511145.b0023,511145.b3985,0.999
511145.b0023,511145.b3306,0.997
511145.b0023,511145.b2606,0.995
511145.b0023,511145.b3185,0.999
511145.b0023,511145.b3986,0.994
511145.b0023,511145.b3312,0.992
511145.b0023,511145.b0911,0.982
511145.b0023,511145.b3315,0.987
511145.b0023,511145.b3317,0.984
511145.b0023,511145.b3649,0.918
511145.b0023,511145.b3296,0.998
511145.b0023,511145.b3316,0.996
511145.b0023,511145.b2597,0.896
511145.b0023,511145.b2185,0.997
511145.b0023,511145.b3294,0.993
511145.b0023,511145.b3314,0.995
511145.b0023,511145.b3703,0.998
511145.b0023,511145.b3342,0.997
511145.b0023,511145.b3307,0.997
511145.b0023,511145.b3987,0.856
511145.b0023,511145.b1718,0.839
511145.b0023,511145.b3320,0.99
511145.b0023,511145.b3303,0.995
511145.b0023,511145.b3313,0.984
511145.b0023,511145.b3637,0.999
511145.b0114,511145.b0115,0.999
511145.b0114,511145.b2925,0.88
511145.b0114,511145.b4069,0.884
511145.b0114,511145.b1415,0.901
511145.b0114,511145.b0903,0.952
511145.b0114,511145.b0727,0.783
511145.b0114,511145.b0720,0.891
511145.b0114,511145.b1676,0.957
511145.b0114,511145.b3403,0.9
511145.b0114,511145.b0116,0.999
511145.b0115,511145.b4015,0.717
511145.b0115,511145.b4069,0.938
511145.b0115,511145.b0728,0.954
511145.b0115,511145.b0720,0.972
511145.b0115,511145.b0903,0.945
511145.b0115,511145.b1676,0.772
511145.b0115,511145.b0729,0.95
511145.b0115,511145.b3403,0.944
511145.b0115,511145.b4014,0.942
511145.b0115,511145.b1241,0.95
511145.b0115,511145.b0116,0.999
511145.b0116,511145.b3870,0.834
511145.b0116,511145.b0118,0.708
511145.b0116,511145.b2551,0.949
511145.b0116,511145.b3517,0.853
511145.b0116,511145.b1676,0.815
511145.b0116,511145.b0729,0.86
511145.b0116,511145.b0720,0.942
511145.b0116,511145.b0727,0.999
511145.b0116,511145.b3236,0.757
511145.b0116,511145.b0903,0.972
511145.b0116,511145.b4015,0.786
511145.b0116,511145.b1136,0.919
511145.b0116,511145.b0728,0.884
511145.b0116,511145.b4014,0.729
511145.b0118,511145.b1136,0.995
511145.b0118,511145.b4015,0.974
511145.b0118,511145.b3403,0.707
511145.b0118,511145.b3236,0.958
511145.b0118,511145.b0728,0.975
511145.b0118,511145.b0727,0.969
511145.b0118,511145.b0720,0.997
511145.b0118,511145.b0729,0.896
511145.b0166,511145.b3433,0.871
511145.b0169,511145.b3313,0.999
511145.b0169,511145.b3637,0.998
511145.b0169,511145.b3303,0.999
511145.b0169,511145.b3320,0.999
511145.b0169,511145.b1718,0.994
511145.b0169,511145.b2779,0.847
511145.b0169,511145.b3703,0.98
511145.b0169,511145.b3342,0.999
511145.b0169,511145.b3987,0.998
511145.b0169,511145.b3307,0.999
511145.b0169,511145.b2185,0.999
511145.b0169,511145.b2597,0.889
511145.b0169,511145.b3316,0.999
511145.b0169,511145.b3296,0.999
511145.b0169,511145.b3294,0.999
511145.b0169,511145.b3314,0.999
511145.b0169,511145.b3317,0.999
511145.b0169,511145.b3649,0.985
511145.b0169,511145.b3315,0.999
511145.b0169,511145.b0911,0.999
511145.b0169,511145.b3986,0.999
511145.b0169,511145.b3312,0.998
511145.b0169,511145.b2606,0.999
511145.b0169,511145.b3185,0.999
511145.b0169,511145.b3306,0.999
511145.b0169,511145.b3985,0.999
511145.b0169,511145.b3983,0.999
511145.b0169,511145.b3936,0.985
511145.b0169,511145.b3308,0.999
511145.b0169,511145.b3980,0.981
511145.b0169,511145.b1089,0.998
511145.b0169,511145.b3165,0.999
511145.b0169,511145.b3984,0.999
511145.b0169,511145.b3203,0.995
511145.b0169,511145.b3230,0.999
511145.b0169,511145.b3321,0.999
511145.b0169,511145.b3341,0.999
511145.b0169,511145.b3301,0.999
511145.b0169,511145.b3309,0.999
511145.b0169,511145.b4200,0.999
511145.b0169,511145.b3311,0.999
511145.b0169,511145.b3988,0.986
511145.b0169,511145.b0436,0.997
511145.b0169,511145.b4203,0.998
511145.b0169,511145.b3310,0.999
511145.b0169,511145.b3295,0.999
511145.b0169,511145.b3302,0.999
511145.b0169,511145.b3065,0.999
511145.b0169,511145.b3636,0.993
511145.b0169,511145.b3305,0.999
511145.b0169,511145.b3732,0.712
511145.b0169,511145.b0172,0.999
511145.b0169,511145.b3186,0.999
511145.b0169,511145.b3298,0.999
511145.b0169,511145.b3339,0.999
511145.b0169,511145.b3319,0.999
511145.b0169,511145.b3304,0.999
511145.b0169,511145.b4226,0.714
511145.b0169,511145.b2609,0.999
511145.b0169,511145.b1480,0.814
511145.b0169,511145.b4202,0.999
511145.b0169,511145.b1676,0.84
511145.b0169,511145.b0957,0.863
511145.b0169,511145.b4143,0.847
511145.b0169,511145.b3231,0.999
511145.b0169,511145.b2926,0.743
511145.b0169,511145.b2518,0.978
511145.b0169,511145.b3340,0.999
511145.b0169,511145.b3297,0.999
511145.b0169,511145.b3734,0.819
511145.b0169,511145.b3349,0.744
511145.b0169,511145.b1716,0.999
511145.b0169,511145.b0170,0.999
511145.b0170,511145.b4203,0.981
511145.b0170,511145.b3295,0.966
511145.b0170,511145.b3310,0.975
511145.b0170,511145.b3636,0.906
511145.b0170,511145.b3302,0.959
511145.b0170,511145.b3341,0.978
511145.b0170,511145.b3321,0.987
511145.b0170,511145.b3311,0.973
511145.b0170,511145.b3309,0.955
511145.b0170,511145.b4200,0.978
511145.b0170,511145.b3988,0.767
511145.b0170,511145.b0436,0.992
511145.b0170,511145.b3301,0.964
511145.b0170,511145.b3298,0.983
511145.b0170,511145.b3339,0.999
511145.b0170,511145.b3319,0.991
511145.b0170,511145.b4226,0.745
511145.b0170,511145.b3304,0.965
511145.b0170,511145.b0172,0.997
511145.b0170,511145.b0474,0.752
511145.b0170,511145.b3732,0.918
511145.b0170,511145.b3305,0.992
511145.b0170,511145.b3186,0.967
511145.b0170,511145.b3231,0.992
511145.b0170,511145.b2609,0.967
511145.b0170,511145.b4202,0.986
511145.b0170,511145.b3340,0.998
511145.b0170,511145.b2926,0.868
511145.b0170,511145.b1716,0.984
511145.b0170,511145.b3734,0.951
511145.b0170,511145.b3297,0.976
511145.b0170,511145.b3987,0.97
511145.b0170,511145.b3307,0.963
511145.b0170,511145.b3342,0.954
511145.b0170,511145.b3294,0.97
511145.b0170,511145.b3314,0.991
511145.b0170,511145.b3316,0.992
511145.b0170,511145.b3296,0.971
511145.b0170,511145.b2185,0.936
511145.b0170,511145.b3313,0.99
511145.b0170,511145.b3637,0.801
511145.b0170,511145.b1718,0.983
511145.b0170,511145.b3303,0.99
511145.b0170,511145.b3320,0.989
511145.b0170,511145.b3164,0.843
511145.b0170,511145.b3315,0.985
511145.b0170,511145.b0911,0.998
511145.b0170,511145.b1093,0.731
511145.b0170,511145.b3317,0.992
511145.b0170,511145.b3985,0.974
511145.b0170,511145.b3306,0.972
511145.b0170,511145.b3980,0.999
511145.b0170,511145.b3983,0.988
511145.b0170,511145.b3308,0.987
511145.b0170,511145.b3936,0.702
511145.b0170,511145.b3312,0.959
511145.b0170,511145.b3986,0.988
511145.b0170,511145.b3185,0.976
511145.b0170,511145.b2606,0.996
511145.b0170,511145.b3230,0.992
511145.b0170,511145.b1089,0.913
511145.b0170,511145.b3165,0.844
511145.b0170,511145.b3984,0.995
511145.b0172,511145.b4202,0.97
511145.b0172,511145.b2609,0.977
511145.b0172,511145.b3231,0.998
511145.b0172,511145.b1716,0.998
511145.b0172,511145.b3297,0.993
