string_id,gene_name,abundance,abundance_rank,abundance_percent,uniprot,protein_name
511145.b3495,uspA,30087.0,1,3.0087,P0AED0,Universal stress protein A
511145.b3986,rplL,11544.0,2,1.1544,P0A7K2,Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12) (L8)
511145.b3339,tufA,10692.0,3,1.0692,P0CE47,Elongation factor Tu 1 (EF-Tu 1) (EC 3.6.5.3) (Bacteriophage Q beta RNA-directed RNA polymerase subunit III) (P-43)
511145.b3980,tufB,9197.0,4,0.9197,P0CE48,Elongation factor Tu 2 (EF-Tu 2) (EC 3.6.5.3) (Bacteriophage Q beta RNA-directed RNA polymerase subunit III) (P-43)
511145.b1779,gapA,8977.0,5,0.8977,P0A9B2,Glyceraldehyde-3-phosphate dehydrogenase A (GAPDH-A) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)
511145.b0440,hupB,8903.0,6,0.8903,P0ACF4,DNA-binding protein HU-beta (HU-1) (NS1)
511145.b1237,hns,8214.0,7,0.8214,P0ACF8,DNA-binding protein H-NS (Heat-stable nucleoid-structuring protein) (Histone-like protein HLP-II) (Protein B1) (Protein H1)
511145.b1677,lpp,8094.0,8,0.8094,P69776,Major outer membrane lipoprotein Lpp (Braun lipoprotein) (BLP) (Murein-lipoprotein)
511145.b3236,mdh,7186.0,9,0.7186,P61889,Malate dehydrogenase (EC 1.1.1.37)
511145.b1823,cspC,7032.0,10,0.7032,P0A9Y6,Cold shock-like protein CspC (CSP-C)
511145.b2779,eno,6953.0,11,0.6953,P0A6P9,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)
511145.b4015,aceA,6677.0,12,0.6677,P0A9G6,Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)
511145.b3065,rpsU,6456.0,13,0.6456,P68679,Small ribosomal subunit protein bS21 (30S ribosomal protein S21)
511145.b1094,acpP,6372.0,14,0.6372,P0A6A8,Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)
511145.b4143,groL,6197.0,15,0.6197,P0A6F5,Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60) (GroEL protein)
511145.b2926,pgk,5981.0,16,0.5981,P0A799,Phosphoglycerate kinase (EC 2.7.2.3)
511145.b3341,rpsG,5941.0,17,0.5941,P02359,Small ribosomal subunit protein uS7 (30S ribosomal protein S7)
